 Procedimentos hospitalares do SUS - por local de internação - Paraná
Internações por Município e Ano/mês atendimento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19, 0802010199 DIÁRIA DE PERMANÊNCIA A MAIOR
Período:Mar/2019-Mar/2021
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"411210 Jandaia do Sul";-;-;-;-;-;-;-;-;-;-;-;1;6;7
"411240 Japurá";-;1;-;-;2;1;-;-;2;3;6;-;-;15
"411275 Jesuítas";-;-;1;6;9;2;-;-;2;1;6;5;-;32
"411280 Joaquim Távora";-;-;-;1;1;-;2;1;-;-;1;6;27;39
"411300 Jussara";-;-;-;-;-;-;-;-;-;-;1;2;6;9
"411310 Kaloré";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"411320 Lapa";-;-;-;-;-;-;-;-;-;-;8;29;32;69
"411330 Laranjeiras do Sul";-;-;1;11;13;23;12;16;42;64;79;53;4;318
"411345 Lindoeste";-;-;-;-;1;-;1;2;2;7;-;-;-;13
"411350 Loanda";-;-;-;1;7;8;5;3;22;29;24;20;13;132
"411370 Londrina";-;18;51;177;191;282;305;175;168;314;343;170;18;2212
"411380 Lupionópolis";-;-;-;-;-;-;-;-;-;-;-;2;7;9
"411390 Mallet";-;-;-;-;2;1;-;-;1;1;3;-;2;10
"411420 Mandaguari";-;-;-;-;-;-;-;-;-;-;-;2;1;3
"411430 Mandirituba";-;-;-;-;15;3;4;3;1;6;3;11;32;78
"411440 Mangueirinha";-;-;1;-;2;3;-;2;6;18;15;15;17;79
"411450 Manoel Ribas";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"411520 Maringá";-;15;45;132;231;290;215;190;259;293;209;163;244;2286
"411560 Matelândia";-;-;-;8;12;2;2;2;9;5;-;-;-;40
"411580 Medianeira";-;-;3;22;30;8;15;34;19;34;19;15;5;204
"411605 Missal";-;-;-;-;-;-;-;-;-;-;-;-;29;29
"411670 Nova Aurora";-;-;-;-;-;1;4;2;8;38;42;55;62;212
"411680 Nova Cantu";-;-;-;1;-;-;-;-;-;1;9;3;5;19
"411690 Nova Esperança";-;-;-;1;1;1;-;-;-;1;-;1;15;20
"411695 Nova Esperança do Sudoeste";-;-;-;-;-;1;-;-;-;-;-;-;4;5
"411700 Nova Fátima";-;-;-;-;-;-;-;-;-;-;-;1;3;4
"411710 Nova Londrina";-;-;-;1;3;10;4;1;2;6;13;2;-;42
"411722 Nova Santa Rosa";-;-;-;-;2;1;6;4;2;2;-;7;-;24
"411727 Nova Tebas";-;-;-;-;-;-;-;-;-;1;11;3;-;15
"411750 Paiçandu";-;-;-;-;-;-;-;-;-;-;-;-;5;5
"411760 Palmas";-;-;1;5;3;8;13;6;16;41;21;3;1;118
"411770 Palmeira";-;-;1;1;2;2;4;2;1;1;1;25;35;75
"411790 Palotina";-;-;1;-;13;7;6;2;2;11;14;13;26;95
"411800 Paraíso do Norte";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"411820 Paranaguá";-;1;7;29;55;19;44;33;52;39;-;-;-;279
"411840 Paranavaí";-;35;28;19;24;25;22;8;36;60;61;66;13;397
"411850 Pato Branco";1;1;1;16;27;28;11;12;28;41;37;72;76;351
"411890 Pérola";-;-;-;-;-;-;-;-;-;-;-;1;13;14
"411910 Piên";-;-;-;-;2;3;-;2;1;2;5;9;10;34
"411920 Pinhalão";-;-;-;-;-;-;-;-;-;-;3;-;6;9
"411930 Pinhão";-;-;-;-;-;-;-;-;-;-;-;-;4;4
"411960 Pitanga";-;-;-;-;2;1;-;2;-;-;-;-;2;7
"411970 Planaltina do Paraná";-;-;-;-;1;-;-;-;-;2;-;-;2;5
"411980 Planalto";-;-;-;-;-;1;-;-;-;-;1;7;6;15
"411990 Ponta Grossa";-;22;21;63;126;140;145;152;168;245;327;306;134;1849
"412000 Porecatu";-;-;-;-;-;-;-;-;-;-;-;-;5;5
"412035 Pranchita";-;-;-;1;5;5;3;-;2;6;6;37;31;96
"412060 Prudentópolis";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"412090 Quedas do Iguaçu";-;-;-;-;3;5;1;2;3;18;14;11;43;100
"412100 Querência do Norte";-;-;-;-;-;1;-;4;1;8;3;-;-;17
"412120 Quitandinha";-;-;-;-;12;8;3;2;9;8;1;16;23;82
"412180 Ribeirão Claro";-;-;-;-;-;-;-;-;1;3;2;4;4;14
"412220 Rio Branco do Sul";-;-;-;-;8;1;2;1;3;3;4;23;63;108
"412230 Rio Negro";-;-;-;-;1;-;8;5;16;15;16;8;-;69
"412240 Rolândia";-;-;-;-;-;-;-;-;-;-;-;-;53;53
"412250 Roncador";-;-;-;2;1;9;-;1;1;3;13;1;1;32
"412260 Rondon";-;-;-;2;1;2;2;-;8;16;8;10;1;50
"412265 Rosário do Ivaí";-;-;-;-;-;-;-;-;-;-;1;-;1;2
"412290 Salto do Itararé";-;-;-;-;-;-;-;1;-;-;-;-;3;4
"412350 Santa Helena";-;-;-;1;2;1;3;2;10;21;8;10;-;58
"412370 Santa Isabel do Ivaí";-;-;-;-;-;-;-;-;1;3;9;14;6;33
"412380 Santa Izabel do Oeste";-;-;-;-;1;-;-;-;-;7;-;-;-;8
"412390 Santa Mariana";-;-;-;-;-;-;-;-;-;-;-;-;3;3
"412410 Santo Antônio da Platina";-;-;15;30;35;30;36;17;36;46;48;39;19;351
"412440 Santo Antônio do Sudoeste";-;-;-;1;1;-;2;1;-;13;8;13;27;66
"412460 São Carlos do Ivaí";-;-;-;-;-;-;-;-;-;1;2;3;5;11
"412490 São João do Caiuá";-;-;1;-;1;1;-;-;1;-;-;3;4;11
"412510 São João do Triunfo";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"412535 São Jorge do Patrocínio";-;-;-;-;-;-;-;-;-;3;-;1;7;11
"412540 São José da Boa Vista";-;-;-;-;-;-;-;-;-;-;1;1;7;9
"412550 São José dos Pinhais";-;-;4;25;23;12;10;5;5;15;4;5;58;166
"412560 São Mateus do Sul";-;-;-;-;2;3;1;2;5;5;3;6;1;28
"412570 São Miguel do Iguaçu";-;-;-;-;5;-;2;1;1;1;5;-;-;15
"412625 Sarandi";-;3;7;32;30;22;22;11;13;63;46;41;16;306
"412660 Siqueira Campos";-;-;-;-;-;-;-;-;-;-;-;-;4;4
"412700 Teixeira Soares";-;-;-;-;-;-;-;-;-;3;4;1;4;12
"412710 Telêmaco Borba";-;1;3;8;16;19;16;3;6;25;16;21;21;155
"412720 Terra Boa";-;-;1;6;8;7;5;-;5;11;7;-;-;50
"412730 Terra Rica";-;-;-;-;-;-;-;-;-;-;1;6;3;10
"412750 Tibagi";-;-;-;-;-;-;-;-;-;-;8;7;3;18
"412760 Tijucas do Sul";-;-;-;-;-;8;8;7;15;9;4;5;-;56
"412770 Toledo";-;-;10;27;21;18;32;19;37;47;50;35;32;328
"412780 Tomazina";-;-;-;-;-;-;-;-;-;3;3;1;-;7
"412785 Três Barras do Paraná";-;1;1;4;4;-;1;-;1;4;4;12;18;50
"412790 Tuneiras do Oeste";-;-;-;-;-;-;-;-;-;4;-;1;11;16
"412795 Tupãssi";-;-;1;2;-;-;-;-;-;-;4;-;4;11
"412800 Ubiratã";-;-;-;1;-;-;5;6;8;27;22;24;29;122
"412810 Umuarama";-;2;7;29;89;82;56;30;57;151;143;98;80;824
"412820 União da Vitória";-;-;3;7;13;11;7;3;21;28;35;29;25;182
"412840 Uraí";-;-;-;-;-;-;-;-;-;-;-;6;4;10
"412855 Vera Cruz do Oeste";-;-;-;4;3;-;-;-;1;3;3;8;4;26
"412860 Verê";-;-;1;2;4;1;4;2;8;13;6;10;19;70
"412850 Wenceslau Braz";-;-;-;-;-;-;-;-;-;1;1;6;23;31
"Total";17;348;817;2510;4238;4032;3287;2451;4182;5966;4957;4617;5066;42488
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
